公司名稱,聯絡人,Email,產品,報價金額
加班到死科技有限公司,爆肝哥 技術長,996@overtime.com.tw,B 方案（進階版）,120000
Pizza不要鳳梨餐飲集團,夏威夷 店長,nopineapple@pizza.com.tw,A 方案（基礎版）,58000
佛系行銷有限公司,隨緣妹 負責人,fate@buddha-marketing.com.tw,C 方案（客製版）,250000
已讀不回通訊股份有限公司,句點王 客服主管,dot@readbutnotreply.com.tw,B 方案（進階版）,120000
躺平科技股份有限公司,摸魚王 採購,fish@tangping.com.tw,A 方案（基礎版）,58000
鍵盤俠資訊股份有限公司,噴子哥 專案經理,keyboard@warrior.com.tw,A 方案（基礎版）,58000
韭菜園建設開發股份有限公司,割韭菜 董事長特助,leek@garden.com.tw,C 方案（客製版）,320000
民明書房出版股份有限公司,男塾太郎 副總,otoko@minmei.com.tw,B 方案（進階版）,120000
月薪嘸萬企業有限公司,錢不夠 經理,nomoney@loser.com.tw,A 方案（基礎版）,58000
發大財實業股份有限公司,暴富弟 採購主管,rich@dream.com.tw,B 方案（進階版）,120000
